id,year,month,ph,do,bod,cod,nitrate,fc,WQI
1317,2017,1,7.4,3,20,224,1.3,540,43.26
1317,2017,2,7.5,4.2,14,224,2.1,540,50.7
1317,2017,3,7.3,3.5,20,216,1.5,350,48.73
1317,2017,4,7.3,4.2,16,160,3.2,920,50.44
1317,2017,5,7.4,3.5,16,180,1.7,540,46.98
1317,2017,6,7.3,3.8,12,144,2.2,220,53.77
1317,2017,7,7.4,4.3,13,216,2.1,1600,50.18
1317,2017,8,7.1,4.6,12,216,1.9,540,53.86
1317,2017,9,7.2,4.4,14,148,1,49,60.77
1317,2017,10,7.4,3.8,18,212,0.9,1600,46.22
1317,2017,11,7.4,4.1,14,152,1.2,1600,48.83
1317,2017,12,7,2.6,21,200,2.4,1600,35.83
1317,2018,1,6.8,3.8,20,200,2.1,220,48.22
1317,2018,2,7.5,3.6,20,160,0.6,140,50.31
1317,2018,3,7.2,4.3,13,188,1.8,23,62.9
1317,2018,4,7.4,3.7,15,208,2.6,84,54.35
1317,2018,5,6.7,4.7,9,196,5.3,280,55.4
1317,2018,6,7.8,3.2,18,220,1.2,540,42.21
1317,2018,7,6.8,4.7,10,88,2.3,79,58.9
1317,2018,8,7.7,5.3,7,140,1,170,64.2
1317,2018,9,6.9,4.4,11,176,1.6,1600,49.54
1317,2018,10,7.3,4.2,13,172,1,22,63.22
1317,2018,11,6.6,4.9,10,120,2.6,23,62.54
1317,2018,12,7.2,4.4,11,144,2.2,23,63.92
1317,2019,1,7.5,4.2,14,212,1.2,84,56.72
1317,2019,2,7.5,3.6,12,172,1.2,110,52.96
1317,2019,3,7.4,3.1,20,216,1.6,920,42.09
1317,2019,4,7.4,4.1,11,168,1,110,56.64
1317,2019,5,7.3,3,18,268,1.6,110,50.15
1317,2019,6,7.6,3.3,15,256,0.8,110,49.93
1317,2019,7,7.4,4.6,9,120,2.2,70,62.47
1317,2019,8,6.8,5.2,8,68,0.9,240,60.76
1317,2019,9,7.3,4.9,8,104,1.4,150,64.29
1317,2019,10,6.7,4.6,11,80,1.2,220,54.05
1317,2019,11,7.2,4.3,12,116,1.6,920,51.2
1317,2019,12,7.3,4.3,14,196,1,170,56.93
1317,2020,1,7.5,3.8,14,260,1.3,130,53.07
1317,2020,2,7.5,4.2,14,192,1.6,23,60.91
1317,2020,3,7.5,4.9,12,192,1.7,23,65.28
1317,2020,4,,,,,,,
1317,2020,5,7.5,3.9,11,184,0.3,49,57.49
1317,2020,6,,,,,,,
1317,2020,7,7.3,5.4,9,88,1.6,23,71.82
1317,2020,8,6.7,4.4,12,136,2.9,49,57.56
1317,2020,9,6.8,4.5,9,140,3,350,54.3
1317,2020,10,7.6,5.1,7,96,3,70,66.61
1317,2020,11,7.5,3.9,11,184,0.3,49,57.49
1317,2020,12,7.3,3.9,11,180,,140,56.03
1317,2021,1,7.2,3.3,10,184,0.3,170,51.56
1317,2021,2,7.9,3.6,14,208,1.8,94,50.38
1317,2021,3,7.1,4,11,200,0.3,79,56.96
1317,2021,4,7.8,3.6,13,192,1.2,540,45.61
1317,2021,5,7.8,5.2,8,76,0.8,130,62.52
1317,2021,6,7.1,3.5,18,284,0.8,540,46.32
1317,2021,7,7.8,3.5,17,288,1.1,170,47.86
1317,2021,8,7.2,3.8,16,184,1.18,110,54.34
1317,2021,9,7.3,4,12,116,1.18,110,57.13
1317,2021,10,8,4.5,12,212,0.54,540,49.56
1317,2021,11,7.7,5.5,10,120,0.69,240,60.21
1317,2021,12,7.5,5.5,10.4,188,1.51,350,60.2
1317,2022,1,7.4,3.6,16,264,1.61,120,52.4
1317,2022,2,7.2,4.1,11,220,7.31,120,56.9
1317,2022,3,7.7,3.7,11,216,1.27,120,52.16
1317,2022,4,7.1,4.4,9,144,2.14,94,60.21
1317,2022,5,7.7,5.8,11,148,1.88,170,62.75
1317,2022,6,7.5,5.8,15,288,1.19,58,66.61
1317,2022,7,7.4,6,12,272,2.48,140,66.23
1317,2022,8,6.8,5.3,7,80,1.3,46,67.99
1317,2022,9,7.2,5.9,7,128,1.38,110,71.47
1317,2022,10,7.3,5.6,11,128,1.1,49,68.91
1317,2022,11,7.2,5.7,13,216,1.21,31,69.74
1317,2022,12,7,2.7,13,192,0.57,63,49.24
1317,2023,1,7.5,3.5,13,212,1.12,49,54.79
1317,2023,2,7.8,4.6,8,144,1.26,94,60.22
1317,2023,3,8.1,4.5,10,232,1.25,33,58.42
1317,2023,4,7.9,4.2,13,220,1.47,46,56.27
1317,2023,5,8.1,3.2,14,240,2.08,33,50.22
1317,2023,6,7.9,3.9,,268,1.26,22,
1317,2023,7,7.7,4,15.5,228,2.75,540,47.92
1317,2023,8,7.8,4.2,12,200,2.05,240,51.82
1317,2023,9,7.7,6.2,7,52,2.9,140,69.85
1317,2023,10,7.6,5.1,9,100,1.5,49,65.1
1317,2023,11,7.7,4.7,10,132,1.73,46,61.09
1317,2023,12,7.4,4.2,12,204,0.98,49,59.58
1317,2024,1,7.7,3.4,13,320,0.88,27,54.84
1317,2024,2,7.7,4,13,207.3,1.28,27,58.19
1317,2024,3,8,3.6,15,34.4,0.89,540,43.83
1317,2024,4,8,4.3,15,32.4,1.16,540,47.74
1317,2024,5,8,4.8,12,221.3,0.76,350,52.63
1317,2024,6,7.9,4.4,14,260.9,2.77,540,49.19
1317,2024,7,7.9,4,14,320,2.2,40,55.37
1317,2024,8,8,5,10,120,1.45,110,57.97
1317,2024,9,8.2,4,16,232,1.88,170,48.26
1317,2024,10,8,3.5,18,336,0.48,84,48.59
1317,2024,11,7.9,4.2,13,152,0.54,49,56.07
1317,2024,12,7.5,3.8,14,236,0.8,110,53.61
1318,2017,1,7.5,3.2,17,288,1.1,540,44.42
1318,2017,2,7.8,3.7,18,224,2.1,540,45
1318,2017,3,7.1,3.8,18,228,1.1,920,46.27
1318,2017,4,7.4,3.2,18,216,3.1,540,44.84
1318,2017,5,7.5,3.5,18,236,1.6,540,45.86
1318,2017,6,7.4,3.8,18,208,2.2,110,53.34
1318,2017,7,7.1,5.3,8,32,1.5,220,63.81
1318,2017,8,7.6,5.5,9,136,1.7,130,64.18
1318,2017,9,7.2,4.3,18,200,1.9,63,58.47
1318,2017,10,7.5,4,13,140,0.8,920,48.09
1318,2017,11,7.6,4.3,14,164,1.2,350,52
1318,2017,12,7.1,4,18,172,2.3,1600,47.14
1318,2018,1,6.8,5,10,104,0.3,920,52.64
1318,2018,2,7.2,4.4,13,136,1,220,56.15
1318,2018,3,7.4,4.4,54,136,1.6,1600,46.77
1318,2018,4,7.4,3.8,12,160,2.3,920,47.87
1318,2018,5,6.9,3.9,11,232,7.2,280,50.84
1318,2018,6,7.5,4.2,12,164,1.2,1600,49.2
1318,2018,7,7.2,5.2,7,60,5.7,110,67.56
1318,2018,8,7.7,5.3,8,144,1,110,64.28
1318,2018,9,7.1,4.1,14,184,0.8,21,61.1
1318,2018,10,7.2,4.4,11,168,1.4,23,63.92
1318,2018,11,7.2,4.1,14,184,1.5,70,57.95
1318,2018,12,7,4.5,11,160,1.2,39,61.3
1318,2019,1,7.5,,40,92,0.9,79,34
1318,2019,2,7.1,,45,100,1.5,79,34.46
1318,2019,3,7.4,3,20,200,1.6,70,49.87
1318,2019,4,7.1,4,14,14,1.3,79,56.26
1318,2019,5,7.3,4,11,160,1.9,79,58.44
1318,2019,6,7.1,,50,100,1.2,94,33.9
1318,2019,7,7.1,3.3,15,268,1.3,33,54.94
1318,2019,8,6.8,4.3,7,28,0.5,79,60.66
1318,2019,9,7.6,5,7,60,1,23,69.65
1318,2019,10,7.2,4.5,12,80,1.2,110,59.18
1318,2019,11,7.3,4.4,11,120,1.5,920,52.73
1318,2019,12,7.2,5.5,6,20,1.2,63,72.37
1318,2020,1,7,3.4,14,76,1.4,130,50.56
1318,2020,2,7,,44,116,1.6,120,32.37
1318,2020,3,7.1,,48,120,1.6,23,38.45
1318,2020,4,7.1,,30,96,1.3,31,37.48
1318,2020,5,7,5.5,7,100,,46,70.58
1318,2020,6,7.6,3.4,18,164,0.4,70,51.25
1318,2020,7,8,6,4.8,24,0.2,70,71.93
1318,2020,8,7.4,5,10,140,2.9,70,63.38
1318,2020,9,7.8,4,12,164,1.2,110,53.23
1318,2020,10,7.7,4.9,11,156,1.3,79,60.21
1318,2020,11,7,5.5,7,100,,46,70.58
1318,2020,12,6.6,5.1,6,44,0.2,280,60.89
1318,2021,1,,,,,,,
1318,2021,2,7.8,3.6,14,208,2.1,540,45.38
1318,2021,3,7.3,4,11,172,0.3,110,57.37
1318,2021,4,7.4,3.7,12,168,2.6,70,55.64
1318,2021,5,7.4,4.1,10,144,1.3,130,56.35
1318,2021,6,7.7,4.4,10,96,1.22,70,58.06
1318,2021,7,7.7,3.5,17,280,1.2,110,49.92
